Version;Date_of_report;Date_measurement;RWZI_AWZI_code;RWZI_AWZI_name;RNA_flow_per_100000
2;2022-03-02;2020-06-15;13010;Haarlem Waarderpolder;0
2;2022-03-02;2020-06-15;15005;Houtrust;5572447302650
2;2022-03-02;2020-06-15;13030;Leimuiden;0
2;2022-03-02;2020-06-15;32002;Tilburg;4909676041625
2;2022-03-02;2020-06-15;4026;Zwolle;1091844495549
2;2022-03-02;2020-06-16;9016;Arnhem;3675586229128
2;2022-03-02;2020-06-16;12022;Beverwijk;0
2;2022-03-02;2020-06-16;25027;Lage Zwaluwe;1448863613945
2;2022-03-02;2020-06-16;10009;Utrecht;2931018643066
2;2022-03-02;2020-06-17;3010;Assen;0
2;2022-03-02;2020-06-17;7022;Etten;0
2;2022-03-02;2020-06-17;2032;Harlingen;0
2;2022-03-02;2020-06-17;29003;Land Van Cuijk;2640733759043
2;2022-03-02;2020-06-17;2011;Leeuwarden;2005299099665
2;2022-03-02;2020-06-17;30007;Bosscherveld;1948712354680
2;2022-03-02;2020-06-17;1008;Stadskanaal;0
2;2022-03-02;2020-06-17;4027;Tollebeek;0
2;2022-03-02;2020-06-17;30020;Venray;534749679615
2;2022-03-02;2020-06-18;25020;Kaatsheuvel;0
2;2022-03-02;2020-06-18;5012;Oldenzaal;0
2;2022-03-02;2020-06-18;3028;Sleen;0
2;2022-03-02;2020-06-18;23002;Terneuzen;0
2;2022-03-02;2020-06-18;21001;Walcheren;0
2;2022-03-02;2020-06-19;1033;Garmerwolde;0
2;2022-03-02;2020-06-21;10027;Amersfoort;0
2;2022-03-02;2020-06-21;27008;S Hertogenbosch;1778275213682
2;2022-03-02;2020-06-21;28005;Dinther;8723526016001
2;2022-03-02;2020-06-21;13010;Haarlem Waarderpolder;0
2;2022-03-02;2020-06-21;2011;Leeuwarden;0
2;2022-03-02;2020-06-21;6004;Lelystad;1483145126943
2;2022-03-02;2020-06-22;9016;Arnhem;0
2;2022-03-02;2020-06-22;12022;Beverwijk;0
2;2022-03-02;2020-06-22;15005;Houtrust;0
2;2022-03-02;2020-06-22;13030;Leimuiden;747443090312
2;2022-03-02;2020-06-22;32002;Tilburg;1004573837200
2;2022-03-02;2020-06-23;3010;Assen;0
2;2022-03-02;2020-06-23;25020;Kaatsheuvel;2941663097190
2;2022-03-02;2020-06-23;25027;Lage Zwaluwe;0
2;2022-03-02;2020-06-23;5012;Oldenzaal;0
2;2022-03-02;2020-06-23;3028;Sleen;0
2;2022-03-02;2020-06-23;1008;Stadskanaal;0
2;2022-03-02;2020-06-23;4027;Tollebeek;2590475061622
2;2022-03-02;2020-06-23;10009;Utrecht;414478400252
2;2022-03-02;2020-06-23;21001;Walcheren;0
2;2022-03-02;2020-06-23;4026;Zwolle;0
2;2022-03-02;2020-06-24;7022;Etten;0
2;2022-03-02;2020-06-24;30007;Bosscherveld;0
2;2022-03-02;2020-06-24;23002;Terneuzen;0
2;2022-03-02;2020-06-24;30020;Venray;0
2;2022-03-02;2020-06-27;13010;Haarlem Waarderpolder;7947080281178
2;2022-03-02;2020-06-27;2032;Harlingen;0
2;2022-03-02;2020-06-27;6004;Lelystad;0
2;2022-03-02;2020-06-28;10027;Amersfoort;0
2;2022-03-02;2020-06-28;9016;Arnhem;0
2;2022-03-02;2020-06-28;12022;Beverwijk;0
2;2022-03-02;2020-06-28;27008;S Hertogenbosch;0
2;2022-03-02;2020-06-28;28005;Dinther;2915006668908
2;2022-03-02;2020-06-28;1033;Garmerwolde;0
2;2022-03-02;2020-06-28;15005;Houtrust;16850988195619
2;2022-03-02;2020-06-28;29003;Land Van Cuijk;0
2;2022-03-02;2020-06-28;21001;Walcheren;0
2;2022-03-02;2020-06-29;13030;Leimuiden;3393659985326
2;2022-03-02;2020-06-29;23002;Terneuzen;0
2;2022-03-02;2020-06-29;32002;Tilburg;0
2;2022-03-02;2020-06-29;4027;Tollebeek;818635299168
2;2022-03-02;2020-06-30;5012;Oldenzaal;0
2;2022-03-02;2020-06-30;3028;Sleen;0
2;2022-03-02;2020-06-30;10009;Utrecht;0
2;2022-03-02;2020-06-30;4026;Zwolle;467337855169
2;2022-03-02;2020-07-01;7022;Etten;0
2;2022-03-02;2020-07-01;25020;Kaatsheuvel;0
2;2022-03-02;2020-07-01;25027;Lage Zwaluwe;0
2;2022-03-02;2020-07-01;29003;Land Van Cuijk;0
2;2022-03-02;2020-07-01;30007;Bosscherveld;0
2;2022-03-02;2020-07-01;30020;Venray;0
2;2022-03-02;2020-07-02;3010;Assen;0
2;2022-03-02;2020-07-02;27008;S Hertogenbosch;17015180519295
2;2022-03-02;2020-07-02;28005;Dinther;0
2;2022-03-02;2020-07-02;1008;Stadskanaal;0
2;2022-03-02;2020-07-05;10027;Amersfoort;0
2;2022-03-02;2020-07-05;9016;Arnhem;0
2;2022-03-02;2020-07-05;12022;Beverwijk;0
2;2022-03-02;2020-07-05;13010;Haarlem Waarderpolder;0
2;2022-03-02;2020-07-05;2032;Harlingen;0
2;2022-03-02;2020-07-05;2011;Leeuwarden;0
2;2022-03-02;2020-07-05;23002;Terneuzen;0
2;2022-03-02;2020-07-06;15005;Houtrust;4860752033335
2;2022-03-02;2020-07-06;3028;Sleen;0
2;2022-03-02;2020-07-06;32002;Tilburg;0
2;2022-03-02;2020-07-07;1034;Feerwerd;0
2;2022-03-02;2020-07-07;25020;Kaatsheuvel;0
2;2022-03-02;2020-07-07;25027;Lage Zwaluwe;0
2;2022-03-02;2020-07-07;29003;Land Van Cuijk;0
2;2022-03-02;2020-07-07;13033;Leiden Zuid-West;0
2;2022-03-02;2020-07-07;10009;Utrecht;2712730080122
2;2022-03-02;2020-07-07;21001;Walcheren;0
2;2022-03-02;2020-07-07;4026;Zwolle;0
2;2022-03-02;2020-07-08;27008;S Hertogenbosch;4373849314602
2;2022-03-02;2020-07-08;28005;Dinther;2760072223272
2;2022-03-02;2020-07-08;7022;Etten;0
2;2022-03-02;2020-07-08;1033;Garmerwolde;0
2;2022-03-02;2020-07-08;13030;Leimuiden;0
2;2022-03-02;2020-07-08;6004;Lelystad;0
2;2022-03-02;2020-07-08;30007;Bosscherveld;0
2;2022-03-02;2020-07-08;4027;Tollebeek;0
2;2022-03-02;2020-07-08;30020;Venray;0
2;2022-03-02;2020-07-09;3010;Assen;0
2;2022-03-02;2020-07-09;12022;Beverwijk;0
2;2022-03-02;2020-07-09;1008;Stadskanaal;0
2;2022-03-02;2020-07-10;9016;Arnhem;0
2;2022-03-02;2020-07-11;13010;Haarlem Waarderpolder;0
2;2022-03-02;2020-07-12;10027;Amersfoort;0
2;2022-03-02;2020-07-12;2032;Harlingen;0
2;2022-03-02;2020-07-12;2011;Leeuwarden;0
2;2022-03-02;2020-07-12;4027;Tollebeek;0
2;2022-03-02;2020-07-13;1033;Garmerwolde;1830107913240
2;2022-03-02;2020-07-13;25020;Kaatsheuvel;1148290517312
2;2022-03-02;2020-07-13;25027;Lage Zwaluwe;0
2;2022-03-02;2020-07-13;29003;Land Van Cuijk;0
2;2022-03-02;2020-07-13;23002;Terneuzen;3436817459401
2;2022-03-02;2020-07-13;32002;Tilburg;2242703832105
2;2022-03-02;2020-07-13;21001;Walcheren;0
2;2022-03-02;2020-07-13;15005;Houtrust;4354963350371
2;2022-03-02;2020-07-14;27008;S Hertogenbosch;0
2;2022-03-02;2020-07-14;28005;Dinther;0
2;2022-03-02;2020-07-14;6004;Lelystad;0
2;2022-03-02;2020-07-14;10009;Utrecht;1627795001291
2;2022-03-02;2020-07-14;5012;Oldenzaal;0
2;2022-03-02;2020-07-15;9016;Arnhem;0
2;2022-03-02;2020-07-15;12022;Beverwijk;0
2;2022-03-02;2020-07-15;7022;Etten;0
2;2022-03-02;2020-07-15;13030;Leimuiden;0
2;2022-03-02;2020-07-15;30007;Bosscherveld;0
2;2022-03-02;2020-07-15;3028;Sleen;0
2;2022-03-02;2020-07-15;30020;Venray;0
2;2022-03-02;2020-07-15;4026;Zwolle;0
2;2022-03-02;2020-07-16;3010;Assen;0
2;2022-03-02;2020-07-16;13010;Haarlem Waarderpolder;0
2;2022-03-02;2020-07-16;13033;Leiden Zuid-West;6328810302559
2;2022-03-02;2020-07-16;1008;Stadskanaal;0
2;2022-03-02;2020-07-17;2015;Gorredijk;0
2;2022-03-02;2020-07-17;4027;Tollebeek;0
2;2022-03-02;2020-07-18;10027;Amersfoort;2115807139217
2;2022-03-02;2020-07-18;15007;De Groote Lucht;754631434402
2;2022-03-02;2020-07-18;10008;Driebergen;0
2;2022-03-02;2020-07-18;8021;Ede;0
2;2022-03-02;2020-07-18;32002;Tilburg;3590074611247
