"week","year","vaccine","dose_number","total_administered"
43,2021,"Moderna",3,583
44,2021,"Moderna",3,267
45,2021,"Moderna",3,126
46,2021,"Moderna",3,2740
47,2021,"Moderna",3,25981
48,2021,"Moderna",3,85510
49,2021,"Moderna",3,260753
50,2021,"Moderna",3,596152
51,2021,"Moderna",3,873777
52,2021,"Moderna",3,1153202
1,2022,"Moderna",3,893457
2,2022,"Moderna",3,354911
3,2022,"Moderna",3,98672
4,2022,"Moderna",3,26120
5,2022,"Moderna",3,7538
6,2022,"Moderna",3,642
7,2022,"Moderna",3,75
8,2022,"Moderna",3,114
52,2020,"UNK",3,0
53,2020,"UNK",3,0
1,2021,"UNK",3,0
2,2021,"UNK",3,0
3,2021,"UNK",3,0
4,2021,"UNK",3,0
5,2021,"UNK",3,0
6,2021,"UNK",3,0
7,2021,"UNK",3,0
8,2021,"UNK",3,0
9,2021,"UNK",3,0
10,2021,"UNK",3,0
11,2021,"UNK",3,0
12,2021,"UNK",3,0
13,2021,"UNK",3,0
14,2021,"UNK",3,0
15,2021,"UNK",3,0
16,2021,"UNK",3,0
17,2021,"UNK",3,0
18,2021,"UNK",3,0
19,2021,"UNK",3,0
20,2021,"UNK",3,0
21,2021,"UNK",3,0
22,2021,"UNK",3,0
23,2021,"UNK",3,0
24,2021,"UNK",3,0
25,2021,"UNK",3,0
26,2021,"UNK",3,0
27,2021,"UNK",3,0
28,2021,"UNK",3,0
29,2021,"UNK",3,0
30,2021,"UNK",3,0
31,2021,"UNK",3,0
32,2021,"UNK",3,0
33,2021,"UNK",3,0
34,2021,"UNK",3,0
35,2021,"UNK",3,0
36,2021,"UNK",3,0
37,2021,"UNK",3,0
38,2021,"UNK",3,0
39,2021,"UNK",3,0
40,2021,"UNK",3,1
41,2021,"UNK",3,3
42,2021,"UNK",3,4
43,2021,"UNK",3,3
44,2021,"UNK",3,2
45,2021,"UNK",3,1
46,2021,"UNK",3,13
47,2021,"UNK",3,25
48,2021,"UNK",3,171
49,2021,"UNK",3,164
50,2021,"UNK",3,749
51,2021,"UNK",3,4406
52,2021,"UNK",3,1694
1,2022,"UNK",3,454
2,2022,"UNK",3,158
3,2022,"UNK",3,34
4,2022,"UNK",3,49
5,2022,"UNK",3,50
6,2022,"UNK",3,27
7,2022,"UNK",3,51
8,2022,"UNK",3,5
